# gunzip -c exp/percgncopas5k/chain_s/tdnn1k_sp/decode_test_5g_400k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/percgncopas5k/chain_s/tree_sp/graph_5g_400k 
# Started at Tue Mar 23 10:15:27 CET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (72,72.5,96) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (38,40.7,60) frames.
Overall, nonsilence accounts for 81.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,8) frames.
Overall, SIL accounts for 18.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,22.3,76) frames.
Overall, @_E accounts for 8.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,5) frames.
Overall, d_B accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,8) frames.
Overall, t_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,8) frames.
Overall, n_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,9) frames.
Overall, l_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,5) frames.
Overall, t_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.2,5) frames.
Overall, A_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.7,6) frames.
Overall, I_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, @_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,4) frames.
Overall, r_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,11) frames.
Overall, I_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.5,5) frames.
Overall, n_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,6) frames.
Overall, a_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,8) frames.
Overall, Y+_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,11) frames.
Overall, x_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.4,5) frames.
Overall, k_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,6) frames.
Overall, o_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.5,8) frames.
Overall, s_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,13) frames.
Overall, m_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,5) frames.
Overall, A_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, 2_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.7,3) frames.
Overall, l_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, p_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.4,6) frames.
Overall, h_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,5) frames.
